#roi	label	R	G	B	A
1000	L_medial_wall	255	255	255	0
1002	L_FA	1	1	1	0
1003	L_FB	2	2	2	0
1004	L_FC	3	3	3	0
1005	L_FCBm	4	4	4	0
1006	L_FD	5	5	5	0
1007	L_Fddelta	6	6	6	0
1008	L_FDT	7	7	7	0
1009	L_FE	8	8	8	0
1010	L_FF	9	9	9	0
1011	L_FG	10	10	10	0
1012	L_FH	11	11	11	0
1013	L_FJK	12	12	12	0
1014	L_FLMN	13	13	13	0
1015	L_HA	14	14	14	0
1016	L_HB	15	15	15	0
1017	L_HC	16	16	16	0
1018	L_IA	17	17	17	0
1019	L_IB	18	18	18	0
1020	L_LA1	19	19	19	0
1021	L_LA2	20	20	20	0
1022	L_LC1	21	21	21	0
1023	L_LC2	22	22	22	0
1024	L_LC3	23	23	23	0
1025	L_LD	24	24	24	0
1026	L_LE	25	25	25	0
1027	L_OA	26	26	26	0
1028	L_OB	27	27	27	0
1029	L_OC	28	28	28	0
1030	L_PA	29	29	29	0
1031	L_PB	30	30	30	0
1032	L_PC	31	31	31	0
1033	L_PD	32	32	32	0
1034	L_PE	33	33	33	0
1035	L_PF	34	34	34	0
1036	L_PG	35	35	35	0
1037	L_PH	36	36	36	0
1038	L_TA	37	37	37	0
1039	L_TB	38	38	38	0
1040	L_TC	39	39	39	0
1041	L_TD	40	40	40	0
1042	L_TE	41	41	41	0
1043	L_TF	42	42	42	0
1044	L_TG	43	43	43	0
2000	R_medial_wall	255	255	255	0
2002	R_FA	0	1	1	0
2003	R_FB	0	2	2	0
2004	R_FC	0	3	3	0
2005	R_FCBm	0	4	4	0
2006	R_FD	0	5	5	0
2007	R_Fddelta	0	6	6	0
2008	R_FDT	0	7	7	0
2009	R_FE	0	8	8	0
2010	R_FF	0	9	9	0
2011	R_FG	0	10	10	0
2012	R_FH	0	11	11	0
2013	R_FJK	0	12	12	0
2014	R_FLMN	0	13	13	0
2015	R_HA	0	14	14	0
2016	R_HB	0	15	15	0
2017	R_HC	0	16	16	0
2018	R_IA	0	17	17	0
2019	R_IB	0	18	18	0
2020	R_LA1	0	19	19	0
2021	R_LA2	0	20	20	0
2022	R_LC1	0	21	21	0
2023	R_LC2	0	22	22	0
2024	R_LC3	0	23	23	0
2025	R_LD	0	24	24	0
2026	R_LE	0	25	25	0
2027	R_OA	0	26	26	0
2028	R_OB	0	27	27	0
2029	R_OC	0	28	28	0
2030	R_PA	0	29	29	0
2031	R_PB	0	30	30	0
2032	R_PC	0	31	31	0
2033	R_PD	0	32	32	0
2034	R_PE	0	33	33	0
2035	R_PF	0	34	34	0
2036	R_PG	0	35	35	0
2037	R_PH	0	36	36	0
2038	R_TA	0	37	37	0
2039	R_TB	0	38	38	0
2040	R_TC	0	39	39	0
2041	R_TD	0	40	40	0
2042	R_TE	0	41	41	0
2043	R_TF	0	42	42	0
2044	R_TG	0	43	43	0
