#roi	label	R	G	B	A
1000	L_medialwall	0	255	0	0
1001	L_V1	0	0	255	0
1002	L_MST	255	0	0	0
1003	L_V6	0	255	0	0
1004	L_V2	0	0	44	0
1005	L_V3	255	26	185	0
1006	L_V4	255	211	0	0
1007	L_V8	0	88	0	0
1008	L_4	132	132	255	0
1009	L_3b	158	79	70	0
1010	L_FEF	0	255	193	0
1011	L_PEF	0	132	149	0
1012	L_55b	0	0	123	0
1013	L_V3A	149	211	79	0
1014	L_RSC	246	158	220	0
1015	L_POS2	211	18	255	0
1016	L_V7	123	26	106	0
1017	L_IPS1	246	18	97	0
1018	L_FFC	255	193	132	0
1019	L_V3B	35	35	9	0
1020	L_LO1	141	167	123	0
1021	L_LO2	246	132	9	0
1022	L_PIT	132	114	0	0
1023	L_MT	114	246	255	0
1024	L_A1	158	193	255	0
1025	L_PSL	114	97	123	0
1026	L_SFL	158	0	0	0
1027	L_PCV	0	79	255	0
1028	L_STV	0	70	149	0
1029	L_7Pm	211	255	0	0
1030	L_7m	185	79	211	0
1031	L_POS1	62	0	26	0
1032	L_23d	237	255	176	0
1033	L_v23ab	255	123	97	0
1034	L_d23ab	70	255	123	0
1035	L_31pv	18	167	97	0
1036	L_5m	211	167	167	0
1037	L_5mv	211	79	132	0
1038	L_23c	106	0	193	0
1039	L_5L	44	97	70	0
1040	L_24dd	0	149	246	0
1041	L_24dv	9	62	79	0
1042	L_7AL	167	88	9	0
1043	L_SCEF	114	97	62	0
1044	L_6ma	9	149	0	0
1045	L_7Am	158	106	185	0
1046	L_7PL	255	255	114	0
1047	L_7PC	167	246	202	0
1048	L_LIPv	149	176	185	0
1049	L_VIP	176	176	9	0
1050	L_MIP	44	0	79	0
1051	L_1	0	202	255	0
1052	L_2	79	35	0	0
1053	L_3a	0	185	167	0
1054	L_6d	158	0	53	0
1055	L_6mp	79	123	176	0
1056	L_6v	26	70	193	0
1057	L_p24pr	88	211	0	0
1058	L_33pr	114	149	53	0
1059	L_a24pr	229	167	53	0
1060	L_p32pr	246	141	149	0
1061	L_a24	106	18	141	0
1062	L_d32	229	97	193	0
1063	L_8BM	237	211	255	0
1064	L_p32	158	255	158	0
1065	L_10r	255	79	246	0
1066	L_47m	149	97	255	0
1067	L_8Av	193	185	97	0
1068	L_8Ad	237	44	53	0
1069	L_9m	176	106	132	0
1070	L_8BL	70	44	88	0
1071	L_9p	185	132	88	0
1072	L_10d	141	9	255	0
1073	L_8C	70	79	0	0
1074	L_44	220	211	176	0
1075	L_45	229	149	255	0
1076	L_47l	0	0	9	0
