#roi	label	R	G	B	A	
1000	medial_wall_LH	0	0	0	0
1001	7Networks_LH_Vis_1	120	18	129	0
1002	7Networks_LH_Vis_2	120	18	130	0
1003	7Networks_LH_Vis_3	120	18	131	0
1004	7Networks_LH_Vis_4	120	18	132	0
1005	7Networks_LH_Vis_5	120	18	133	0
1006	7Networks_LH_Vis_6	120	18	135	0
1007	7Networks_LH_Vis_7	120	18	136	0
1008	7Networks_LH_Vis_8	120	18	137	0
1009	7Networks_LH_Vis_9	120	18	138	0
1010	7Networks_LH_Vis_10	120	18	139	0
1011	7Networks_LH_Vis_11	120	18	140	0
1012	7Networks_LH_Vis_12	120	18	141	0
1013	7Networks_LH_Vis_13	120	19	134	0
1014	7Networks_LH_Vis_14	120	19	135	0
1015	7Networks_LH_SomMot_1	70	130	174	0
1016	7Networks_LH_SomMot_2	70	130	175	0
1017	7Networks_LH_SomMot_3	70	130	176	0
1018	7Networks_LH_SomMot_4	70	130	177	0
1019	7Networks_LH_SomMot_5	70	130	178	0
1020	7Networks_LH_SomMot_6	70	130	179	0
1021	7Networks_LH_SomMot_7	70	130	181	0
1022	7Networks_LH_SomMot_8	70	130	182	0
1023	7Networks_LH_SomMot_9	70	130	183	0
1024	7Networks_LH_SomMot_10	70	130	184	0
1025	7Networks_LH_SomMot_11	70	130	185	0
1026	7Networks_LH_SomMot_12	70	130	186	0
1027	7Networks_LH_SomMot_13	70	130	187	0
1028	7Networks_LH_SomMot_14	70	131	180	0
1029	7Networks_LH_SomMot_15	70	131	181	0
1030	7Networks_LH_SomMot_16	70	131	182	0
1031	7Networks_LH_DorsAttn_Post_1	0	118	11	0
1032	7Networks_LH_DorsAttn_Post_2	0	118	12	0
1033	7Networks_LH_DorsAttn_Post_3	0	118	13	0
1034	7Networks_LH_DorsAttn_Post_4	0	118	15	0
1035	7Networks_LH_DorsAttn_Post_5	0	118	16	0
1036	7Networks_LH_DorsAttn_Post_6	0	118	17	0
1037	7Networks_LH_DorsAttn_Post_7	0	118	18	0
1038	7Networks_LH_DorsAttn_Post_8	0	118	19	0
1039	7Networks_LH_DorsAttn_Post_9	0	118	20	0
1040	7Networks_LH_DorsAttn_Post_10	0	118	21	0
1041	7Networks_LH_DorsAttn_FEF_1	0	118	22	0
1042	7Networks_LH_DorsAttn_FEF_2	0	119	15	0
1043	7Networks_LH_DorsAttn_PrCv_1	0	119	16	0
1044	7Networks_LH_SalVentAttn_ParOper_1	196	58	251	0
1045	7Networks_LH_SalVentAttn_ParOper_2	196	58	252	0
1046	7Networks_LH_SalVentAttn_ParOper_3	196	58	253	0
1047	7Networks_LH_SalVentAttn_FrOperIns_1	196	59	251	0
1048	7Networks_LH_SalVentAttn_FrOperIns_2	196	59	252	0
1049	7Networks_LH_SalVentAttn_FrOperIns_3	196	59	253	0
1050	7Networks_LH_SalVentAttn_FrOperIns_4	196	59	254	0
1051	7Networks_LH_SalVentAttn_PFCl_1	196	59	255	0
1052	7Networks_LH_SalVentAttn_Med_1	197	58	251	0
1053	7Networks_LH_SalVentAttn_Med_2	197	58	252	0
1054	7Networks_LH_SalVentAttn_Med_3	197	58	253	0
1055	7Networks_LH_Limbic_OFC_1	220	248	165	0
1056	7Networks_LH_Limbic_OFC_2	220	248	166	0
1057	7Networks_LH_Limbic_TempPole_1	220	248	167	0
1058	7Networks_LH_Limbic_TempPole_2	220	248	168	0
1059	7Networks_LH_Limbic_TempPole_3	220	248	169	0
1060	7Networks_LH_Limbic_TempPole_4	220	248	170	0
1061	7Networks_LH_Cont_Par_1	230	148	35	0
1062	7Networks_LH_Cont_Par_2	230	148	36	0
1063	7Networks_LH_Cont_Par_3	230	148	37	0
1064	7Networks_LH_Cont_Temp_1	230	148	38	0
1065	7Networks_LH_Cont_OFC_1	230	149	34	0
1066	7Networks_LH_Cont_PFCl_1	230	149	36	0
1067	7Networks_LH_Cont_PFCl_2	230	149	37	0
1068	7Networks_LH_Cont_PFCl_3	230	149	38	0
1069	7Networks_LH_Cont_PFCl_4	230	149	39	0
1070	7Networks_LH_Cont_PFCl_5	230	149	40	0
1071	7Networks_LH_Cont_pCun_1	231	149	35	0
1072	7Networks_LH_Cont_Cing_1	231	149	36	0
1073	7Networks_LH_Cont_Cing_2	231	149	37	0
1074	7Networks_LH_Default_Temp_1	205	62	76	0
1075	7Networks_LH_Default_Temp_2	205	62	77	0
1076	7Networks_LH_Default_Temp_3	205	62	78	0
1077	7Networks_LH_Default_Temp_4	205	62	80	0
1078	7Networks_LH_Default_Temp_5	205	62	81	0
1079	7Networks_LH_Default_Par_1	205	62	82	0
1080	7Networks_LH_Default_Par_2	205	62	83	0
1081	7Networks_LH_Default_Par_3	205	62	84	0
1082	7Networks_LH_Default_Par_4	205	62	85	0
1083	7Networks_LH_Default_PFC_1	205	63	73	0
1084	7Networks_LH_Default_PFC_2	205	63	74	0
1085	7Networks_LH_Default_PFC_3	205	63	75	0
1086	7Networks_LH_Default_PFC_4	205	63	76	0
1087	7Networks_LH_Default_PFC_5	205	63	77	0
1088	7Networks_LH_Default_PFC_6	205	63	79	0
1089	7Networks_LH_Default_PFC_7	205	63	80	0
1090	7Networks_LH_Default_PFC_8	205	63	81	0
1091	7Networks_LH_Default_PFC_9	205	63	82	0
1092	7Networks_LH_Default_PFC_10	205	63	83	0
1093	7Networks_LH_Default_PFC_11	205	63	84	0
1094	7Networks_LH_Default_PFC_12	205	63	85	0
1095	7Networks_LH_Default_PFC_13	205	64	78	0
1096	7Networks_LH_Default_pCunPCC_1	205	63	86	0
1097	7Networks_LH_Default_pCunPCC_2	205	64	79	0
1098	7Networks_LH_Default_pCunPCC_3	205	64	80	0
1099	7Networks_LH_Default_pCunPCC_4	205	64	81	0
1100	7Networks_LH_Default_PHC_1	206	62	79	0
2000	medial_wall_RH	0	0	0	0
2001	7Networks_RH_Vis_1	124	18	129	0
2002	7Networks_RH_Vis_2	124	18	130	0
2003	7Networks_RH_Vis_3	124	18	131	0
2004	7Networks_RH_Vis_4	124	18	132	0
2005	7Networks_RH_Vis_5	124	18	133	0
2006	7Networks_RH_Vis_6	124	18	134	0
2007	7Networks_RH_Vis_7	124	18	136	0
2008	7Networks_RH_Vis_8	124	18	137	0
2009	7Networks_RH_Vis_9	124	18	138	0
2010	7Networks_RH_Vis_10	124	18	139	0
2011	7Networks_RH_Vis_11	124	18	140	0
2012	7Networks_RH_Vis_12	124	18	141	0
2013	7Networks_RH_Vis_13	124	18	142	0
2014	7Networks_RH_Vis_14	124	19	135	0
2015	7Networks_RH_Vis_15	124	19	136	0
2016	7Networks_RH_SomMot_1	74	129	181	0
2017	7Networks_RH_SomMot_2	74	130	174	0
2018	7Networks_RH_SomMot_3	74	130	175	0
2019	7Networks_RH_SomMot_4	74	130	176	0
2020	7Networks_RH_SomMot_5	74	130	177	0
2021	7Networks_RH_SomMot_6	74	130	178	0
2022	7Networks_RH_SomMot_7	74	130	179	0
2023	7Networks_RH_SomMot_8	74	130	180	0
2024	7Networks_RH_SomMot_9	74	130	182	0
2025	7Networks_RH_SomMot_10	74	130	183	0
2026	7Networks_RH_SomMot_11	74	130	184	0
2027	7Networks_RH_SomMot_12	74	130	185	0
2028	7Networks_RH_SomMot_13	74	130	186	0
2029	7Networks_RH_SomMot_14	74	130	187	0
2030	7Networks_RH_SomMot_15	74	130	188	0
2031	7Networks_RH_SomMot_16	74	131	181	0
2032	7Networks_RH_SomMot_17	74	131	182	0
2033	7Networks_RH_SomMot_18	74	131	183	0
2034	7Networks_RH_SomMot_19	74	131	184	0
2035	7Networks_RH_DorsAttn_Post_1	4	119	12	0
2036	7Networks_RH_DorsAttn_Post_2	4	119	13	0
2037	7Networks_RH_DorsAttn_Post_3	4	119	14	0
2038	7Networks_RH_DorsAttn_Post_4	4	119	16	0
2039	7Networks_RH_DorsAttn_Post_5	4	119	17	0
2040	7Networks_RH_DorsAttn_Post_6	4	119	18	0
2041	7Networks_RH_DorsAttn_Post_7	4	119	19	0
2042	7Networks_RH_DorsAttn_Post_8	4	119	20	0
2043	7Networks_RH_DorsAttn_Post_9	4	119	21	0
2044	7Networks_RH_DorsAttn_Post_10	4	119	22	0
2045	7Networks_RH_DorsAttn_FEF_1	5	118	15	0
2046	7Networks_RH_DorsAttn_FEF_2	5	118	16	0
2047	7Networks_RH_DorsAttn_PrCv_1	5	118	17	0
2048	7Networks_RH_SalVentAttn_TempOccPar_1	201	58	252	0
2049	7Networks_RH_SalVentAttn_TempOccPar_2	201	58	253	0
2050	7Networks_RH_SalVentAttn_TempOccPar_3	201	58	254	0
2051	7Networks_RH_SalVentAttn_PrC_1	201	59	251	0
2052	7Networks_RH_SalVentAttn_FrOperIns_1	201	59	252	0
2053	7Networks_RH_SalVentAttn_FrOperIns_2	201	59	253	0
2054	7Networks_RH_SalVentAttn_FrOperIns_3	201	59	254	0
2055	7Networks_RH_SalVentAttn_FrOperIns_4	201	59	255	0
2056	7Networks_RH_SalVentAttn_Med_1	200	57	250	0
2057	7Networks_RH_SalVentAttn_Med_2	200	57	251	0
2058	7Networks_RH_SalVentAttn_Med_3	200	57	252	0
2059	7Networks_RH_Limbic_OFC_1	224	249	165	0
2060	7Networks_RH_Limbic_OFC_2	224	249	166	0
2061	7Networks_RH_Limbic_OFC_3	224	249	167	0
2062	7Networks_RH_Limbic_TempPole_1	224	249	168	0
2063	7Networks_RH_Limbic_TempPole_2	224	249	169	0
2064	7Networks_RH_Limbic_TempPole_3	224	249	170	0
2065	7Networks_RH_Cont_Par_1	234	147	35	0
2066	7Networks_RH_Cont_Par_2	234	147	36	0
2067	7Networks_RH_Cont_Par_3	234	147	37	0
2068	7Networks_RH_Cont_Temp_1	234	147	34	0
2069	7Networks_RH_Cont_PFCv_1	233	148	35	0
2070	7Networks_RH_Cont_PFCl_1	233	148	31	0
2071	7Networks_RH_Cont_PFCl_2	233	148	32	0
2072	7Networks_RH_Cont_PFCl_3	233	148	34	0
2073	7Networks_RH_Cont_PFCl_4	233	148	36	0
2074	7Networks_RH_Cont_PFCl_5	233	148	37	0
2075	7Networks_RH_Cont_PFCl_6	233	148	38	0
2076	7Networks_RH_Cont_PFCl_7	233	148	39	0
2077	7Networks_RH_Cont_pCun_1	233	147	35	0
2078	7Networks_RH_Cont_Cing_1	234	148	37	0
2079	7Networks_RH_Cont_Cing_2	234	148	38	0
2080	7Networks_RH_Cont_PFCmp_1	234	148	39	0
2081	7Networks_RH_Cont_PFCmp_2	234	148	40	0
2082	7Networks_RH_Default_Par_1	209	62	78	0
2083	7Networks_RH_Default_Par_2	209	62	79	0
2084	7Networks_RH_Default_Par_3	209	62	80	0
2085	7Networks_RH_Default_Temp_1	209	61	77	0
2086	7Networks_RH_Default_Temp_2	209	61	79	0
2087	7Networks_RH_Default_Temp_3	209	61	80	0
2088	7Networks_RH_Default_Temp_4	209	61	81	0
2089	7Networks_RH_Default_Temp_5	209	61	82	0
2090	7Networks_RH_Default_PFCv_1	209	61	78	0
2091	7Networks_RH_Default_PFCdPFCm_1	208	62	76	0
2092	7Networks_RH_Default_PFCdPFCm_2	208	62	77	0
2093	7Networks_RH_Default_PFCdPFCm_3	208	62	79	0
2094	7Networks_RH_Default_PFCdPFCm_4	208	62	80	0
2095	7Networks_RH_Default_PFCdPFCm_5	208	62	81	0
2096	7Networks_RH_Default_PFCdPFCm_6	208	62	82	0
2097	7Networks_RH_Default_PFCdPFCm_7	208	62	83	0
2098	7Networks_RH_Default_pCunPCC_1	208	62	78	0
2099	7Networks_RH_Default_pCunPCC_2	208	62	84	0
2100	7Networks_RH_Default_pCunPCC_3	208	63	77	0
