#Label	Name:	R	G	B	A
1	medial_wall-lh	0	0	0	0
2	ctx-lh-bankssts	25	100	40	0
3	ctx-lh-caudalanteriorcingulate	125	100	160	0
4	ctx-lh-caudalmiddlefrontal	100	25	0	0
5	ctx-lh-corpuscallosum	120	70	50	0
6	ctx-lh-cuneus	220	20	100	0
7	ctx-lh-entorhinal	220	20	10	0
8	ctx-lh-fusiform	180	220	140	0
9	ctx-lh-inferiorparietal	220	60	220	0
10	ctx-lh-inferiortemporal	180	40	120	0
11	ctx-lh-isthmuscingulate	140	20	140	0
12	ctx-lh-lateraloccipital	20	30	140	0
13	ctx-lh-lateralorbitofrontal	35	75	50	0
14	ctx-lh-lingual	225	140	140	0
15	ctx-lh-medialorbitofrontal	200	35	75	0
16	ctx-lh-middletemporal	160	100	50	0
17	ctx-lh-parahippocampal	20	220	60	0
18	ctx-lh-paracentral	60	220	60	0
19	ctx-lh-parsopercularis	220	180	140	0
20	ctx-lh-parsorbitalis	20	100	50	0
21	ctx-lh-parstriangularis	220	60	20	0
22	ctx-lh-pericalcarine	120	100	60	0
23	ctx-lh-postcentral	220	20	20	0
24	ctx-lh-posteriorcingulate	220	180	220	0
25	ctx-lh-precentral	60	20	220	0
26	ctx-lh-precuneus	160	140	180	0
27	ctx-lh-rostralanteriorcingulate	80	20	140	0
28	ctx-lh-rostralmiddlefrontal	75	50	125	0
29	ctx-lh-superiorfrontal	20	220	160	0
30	ctx-lh-superiorparietal	20	180	140	0
31	ctx-lh-superiortemporal	140	220	220	0
32	ctx-lh-supramarginal	80	160	20	0
33	ctx-lh-frontalpole	100	0	100	0
34	ctx-lh-temporalpole	70	70	70	0
35	ctx-lh-transversetemporal	150	150	200	0
36	ctx-lh-insula	255	192	32	0
37	medial_wall-rh	0	0	0	0
38	ctx-rh-bankssts	25	100	40	0
39	ctx-rh-caudalanteriorcingulate	125	100	160	0
40	ctx-rh-caudalmiddlefrontal	100	25	0	0
41	ctx-rh-corpuscallosum	120	70	50	0
42	ctx-rh-cuneus	220	20	100	0
43	ctx-rh-entorhinal	220	20	10	0
44	ctx-rh-fusiform	180	220	140	0
45	ctx-rh-inferiorparietal	220	60	220	0
46	ctx-rh-inferiortemporal	180	40	120	0
47	ctx-rh-isthmuscingulate	140	20	140	0
48	ctx-rh-lateraloccipital	20	30	140	0
49	ctx-rh-lateralorbitofrontal	35	75	50	0
50	ctx-rh-lingual	225	140	140	0
51	ctx-rh-medialorbitofrontal	200	35	75	0
52	ctx-rh-middletemporal	160	100	50	0
53	ctx-rh-parahippocampal	20	220	60	0
54	ctx-rh-paracentral	60	220	60	0
55	ctx-rh-parsopercularis	220	180	140	0
56	ctx-rh-parsorbitalis	20	100	50	0
57	ctx-rh-parstriangularis	220	60	20	0
58	ctx-rh-pericalcarine	120	100	60	0
59	ctx-rh-postcentral	220	20	20	0
60	ctx-rh-posteriorcingulate	220	180	220	0
61	ctx-rh-precentral	60	20	220	0
62	ctx-rh-precuneus	160	140	180	0
63	ctx-rh-rostralanteriorcingulate	80	20	140	0
64	ctx-rh-rostralmiddlefrontal	75	50	125	0
65	ctx-rh-superiorfrontal	20	220	160	0
66	ctx-rh-superiorparietal	20	180	140	0
67	ctx-rh-superiortemporal	140	220	220	0
68	ctx-rh-supramarginal	80	160	20	0
69	ctx-rh-frontalpole	100	0	100	0
70	ctx-rh-temporalpole	70	70	70	0
71	ctx-rh-transversetemporal	150	150	200	0
72	ctx-rh-insula	255	192	32	0
