#roi	label	R	G	B	A
1	L_medial_wall	255	255	255	0
2	L_FA	1	1	1	0
3	L_FB	2	2	2	0
4	L_FC	3	3	3	0
5	L_FCBm	4	4	4	0
6	L_FD	5	5	5	0
7	L_Fddelta	6	6	6	0
8	L_FDT	7	7	7	0
9	L_FE	8	8	8	0
10	L_FF	9	9	9	0
11	L_FG	10	10	10	0
12	L_FH	11	11	11	0
13	L_FJK	12	12	12	0
14	L_FLMN	13	13	13	0
15	L_HA	14	14	14	0
16	L_HB	15	15	15	0
17	L_HC	16	16	16	0
18	L_IA	17	17	17	0
19	L_IB	18	18	18	0
20	L_LA1	19	19	19	0
21	L_LA2	20	20	20	0
22	L_LC1	21	21	21	0
23	L_LC2	22	22	22	0
24	L_LC3	23	23	23	0
25	L_LD	24	24	24	0
26	L_LE	25	25	25	0
27	L_OA	26	26	26	0
28	L_OB	27	27	27	0
29	L_OC	28	28	28	0
30	L_PA	29	29	29	0
31	L_PB	30	30	30	0
32	L_PC	31	31	31	0
33	L_PD	32	32	32	0
34	L_PE	33	33	33	0
35	L_PF	34	34	34	0
36	L_PG	35	35	35	0
37	L_PH	36	36	36	0
38	L_TA	37	37	37	0
39	L_TB	38	38	38	0
40	L_TC	39	39	39	0
41	L_TD	40	40	40	0
42	L_TE	41	41	41	0
43	L_TF	42	42	42	0
44	L_TG	43	43	43	0
45	R_medial_wall	255	255	255	0
46	R_FA	0	1	1	0
47	R_FB	0	2	2	0
48	R_FC	0	3	3	0
49	R_FCBm	0	4	4	0
50	R_FD	0	5	5	0
51	R_Fddelta	0	6	6	0
52	R_FDT	0	7	7	0
53	R_FE	0	8	8	0
54	R_FF	0	9	9	0
55	R_FG	0	10	10	0
56	R_FH	0	11	11	0
57	R_FJK	0	12	12	0
58	R_FLMN	0	13	13	0
59	R_HA	0	14	14	0
60	R_HB	0	15	15	0
61	R_HC	0	16	16	0
62	R_IA	0	17	17	0
63	R_IB	0	18	18	0
64	R_LA1	0	19	19	0
65	R_LA2	0	20	20	0
66	R_LC1	0	21	21	0
67	R_LC2	0	22	22	0
68	R_LC3	0	23	23	0
69	R_LD	0	24	24	0
70	R_LE	0	25	25	0
71	R_OA	0	26	26	0
72	R_OB	0	27	27	0
73	R_OC	0	28	28	0
74	R_PA	0	29	29	0
75	R_PB	0	30	30	0
76	R_PC	0	31	31	0
77	R_PD	0	32	32	0
78	R_PE	0	33	33	0
79	R_PF	0	34	34	0
80	R_PG	0	35	35	0
81	R_PH	0	36	36	0
82	R_TA	0	37	37	0
83	R_TB	0	38	38	0
84	R_TC	0	39	39	0
85	R_TD	0	40	40	0
86	R_TE	0	41	41	0
87	R_TF	0	42	42	0
88	R_TG	0	43	43	0
