#roi	label	R	G	B	A
1	L_medialwall	0	255	0	0
2	L_V1	0	0	255	0
3	L_MST	255	0	0	0
4	L_V6	0	255	0	0
5	L_V2	0	0	44	0
6	L_V3	255	26	185	0
7	L_V4	255	211	0	0
8	L_V8	0	88	0	0
9	L_4	132	132	255	0
10	L_3b	158	79	70	0
11	L_FEF	0	255	193	0
12	L_PEF	0	132	149	0
13	L_55b	0	0	123	0
14	L_V3A	149	211	79	0
15	L_RSC	246	158	220	0
16	L_POS2	211	18	255	0
17	L_V7	123	26	106	0
18	L_IPS1	246	18	97	0
19	L_FFC	255	193	132	0
20	L_V3B	35	35	9	0
21	L_LO1	141	167	123	0
22	L_LO2	246	132	9	0
23	L_PIT	132	114	0	0
24	L_MT	114	246	255	0
25	L_A1	158	193	255	0
26	L_PSL	114	97	123	0
27	L_SFL	158	0	0	0
28	L_PCV	0	79	255	0
29	L_STV	0	70	149	0
30	L_7Pm	211	255	0	0
31	L_7m	185	79	211	0
32	L_POS1	62	0	26	0
33	L_23d	237	255	176	0
34	L_v23ab	255	123	97	0
35	L_d23ab	70	255	123	0
36	L_31pv	18	167	97	0
37	L_5m	211	167	167	0
38	L_5mv	211	79	132	0
39	L_23c	106	0	193	0
40	L_5L	44	97	70	0
41	L_24dd	0	149	246	0
42	L_24dv	9	62	79	0
43	L_7AL	167	88	9	0
44	L_SCEF	114	97	62	0
45	L_6ma	9	149	0	0
46	L_7Am	158	106	185	0
47	L_7PL	255	255	114	0
48	L_7PC	167	246	202	0
49	L_LIPv	149	176	185	0
50	L_VIP	176	176	9	0
51	L_MIP	44	0	79	0
52	L_1	0	202	255	0
53	L_2	79	35	0	0
54	L_3a	0	185	167	0
55	L_6d	158	0	53	0
56	L_6mp	79	123	176	0
57	L_6v	26	70	193	0
58	L_p24pr	88	211	0	0
59	L_33pr	114	149	53	0
60	L_a24pr	229	167	53	0
61	L_p32pr	246	141	149	0
62	L_a24	106	18	141	0
63	L_d32	229	97	193	0
64	L_8BM	237	211	255	0
65	L_p32	158	255	158	0
66	L_10r	255	79	246	0
67	L_47m	149	97	255	0
68	L_8Av	193	185	97	0
69	L_8Ad	237	44	53	0
70	L_9m	176	106	132	0
71	L_8BL	70	44	88	0
72	L_9p	185	132	88	0
