#roi	label	R	G	B	A
1000	Left-medialwall	0	255	0	0
1001	Left-V1	0	0	255	0
1002	Left-MST	255	0	0	0
1003	Left-V6	0	255	0	0
1004	Left-V2	0	0	44	0
1005	Left-V3	255	26	185	0
1006	Left-V4	255	211	0	0
1007	Left-V8	0	88	0	0
1008	Left-4	132	132	255	0
1009	Left-3b	158	79	70	0
1010	Left-FEF	0	255	193	0
1011	Left-PEF	0	132	149	0
1012	Left-55b	0	0	123	0
1013	Left-V3A	149	211	79	0
1014	Left-RSC	246	158	220	0
1015	Left-POS2	211	18	255	0
1016	Left-V7	123	26	106	0
1017	Left-IPS1	246	18	97	0
1018	Left-FFC	255	193	132	0
1019	Left-V3B	35	35	9	0
1020	Left-LO1	141	167	123	0
1021	Left-LO2	246	132	9	0
1022	Left-PIT	132	114	0	0
1023	Left-MT	114	246	255	0
1024	Left-A1	158	193	255	0
1025	Left-PSL	114	97	123	0
1026	Left-SFL	158	0	0	0
1027	Left-PCV	0	79	255	0
1028	Left-STV	0	70	149	0
1029	Left-7Pm	211	255	0	0
1030	Left-7m	185	79	211	0
1031	Left-POS1	62	0	26	0
1032	Left-23d	237	255	176	0
1033	Left-v23ab	255	123	97	0
1034	Left-d23ab	70	255	123	0
1035	Left-31pv	18	167	97	0
1036	Left-5m	211	167	167	0
1037	Left-5mv	211	79	132	0
1038	Left-23c	106	0	193	0
1039	Left-5L	44	97	70	0
1040	Left-24dd	0	149	246	0
1041	Left-24dv	9	62	79	0
1042	Left-7AL	167	88	9	0
1043	Left-SCEF	114	97	62	0
1044	Left-6ma	9	149	0	0
1045	Left-7Am	158	106	185	0
1046	Left-7PL	255	255	114	0
1047	Left-7PC	167	246	202	0
1048	Left-LIPv	149	176	185	0
1049	Left-VIP	176	176	9	0
1050	Left-MIP	44	0	79	0
1051	Left-1	0	202	255	0
1052	Left-2	79	35	0	0
1053	Left-3a	0	185	167	0
1054	Left-6d	158	0	53	0
1055	Left-6mp	79	123	176	0
1056	Left-6v	26	70	193	0
1057	Left-p24pr	88	211	0	0
1058	Left-33pr	114	149	53	0
1059	Left-a24pr	229	167	53	0
1060	Left-p32pr	246	141	149	0
1061	Left-a24	106	18	141	0
1062	Left-d32	229	97	193	0
1063	Left-8BM	237	211	255	0
1064	Left-p32	158	255	158	0
1065	Left-10r	255	79	246	0
1066	Left-47m	149	97	255	0
1067	Left-8Av	193	185	97	0
1068	Left-8Ad	237	44	53	0
1069	Left-9m	176	106	132	0
1070	Left-8BL	70	44	88	0
1071	Left-9p	185	132	88	0
1072	Left-10d	141	9	255	0
1073	Left-8C	70	79	0	0
1074	Left-44	220	211	176	0
1075	Left-45	229	149	255	0
1076	Left-47l	0	0	9	0
1077	Left-a47r	97	62	62	0
1078	Left-6r	237	0	132	0
1079	Left-IFJa	176	0	149	0
1080	Left-IFJp	106	0	0	0
1081	Left-IFSp	185	167	255	0
1082	Left-IFSa	167	149	193	0
1083	Left-p9-46v	132	44	79	0
1084	Left-46	114	123	114	0
1085	Left-a9-46v	220	70	0	0
1086	Left-9-46d	9	53	0	0
1087	Left-9a	149	202	123	0
1088	Left-10v	0	18	211	0
1089	Left-a10p	185	237	255	0
1090	Left-10pp	88	62	149	0
1091	Left-11l	70	132	70	0
1092	Left-13l	176	255	79	0
1093	Left-OFC	70	202	88	0
1094	Left-47s	229	88	106	0
1095	Left-LIPd	237	141	70	0
1096	Left-6a	123	79	18	0
1097	Left-i6-8	97	114	202	0
1098	Left-s6-8	0	255	237	0
1099	Left-43	79	149	132	0
1100	Left-OP4	185	0	202	0
1101	Left-OP1	255	220	114	0
1102	Left-OP2-3	18	35	185	0
1103	Left-52	167	0	106	0
1104	Left-RI	158	114	106	0
1105	Left-PFcm	26	185	202	0
1106	Left-PoI2	0	44	35	0
1107	Left-TA2	149	141	79	0
1108	Left-FOP4	176	211	9	0
1109	Left-MI	185	70	53	0
1110	Left-Pir	0	114	255	0
1111	Left-AVI	255	246	0	0
1112	Left-AAIC	97	167	202	0
1113	Left-FOP1	88	211	158	0
1114	Left-FOP3	114	70	193	0
1115	Left-FOP2	141	202	185	0
1116	Left-PFt	18	53	97	0
1117	Left-AIP	132	255	0	0
1118	Left-EC	70	106	123	0
1119	Left-PreS	0	35	132	0
1120	Left-H	70	0	62	0
1121	Left-ProS	176	79	149	0
1122	Left-PeEc	193	79	255	0
1123	Left-STGa	211	255	141	0
1124	Left-PBelt	9	26	88	0
1125	Left-A5	62	70	62	0
1126	Left-PHA1	97	88	149	0
1127	Left-PHA3	246	167	141	0
1128	Left-STSda	246	123	255	0
1129	Left-STSdp	229	255	220	0
1130	Left-STSvp	255	176	202	0
1131	Left-TGd	123	70	114	0
1132	Left-TE1a	185	123	255	0
1133	Left-TE1p	97	158	0	0
1134	Left-TE2a	255	176	0	0
1135	Left-TF	44	18	9	0
1136	Left-TE2p	88	255	79	0
1137	Left-PHT	211	202	211	0
1138	Left-PH	176	123	18	0
1139	Left-TPOJ1	132	53	9	0
1140	Left-TPOJ2	44	132	35	0
1141	Left-TPOJ3	106	18	35	0
1142	Left-DVT	114	62	255	0
1143	Left-PGp	44	35	53	0
1144	Left-IP2	70	176	246	0
1145	Left-IP1	53	229	141	0
1146	Left-IP0	255	229	158	0
1147	Left-PFop	246	132	176	0
1148	Left-PF	97	114	62	0
1149	Left-PFm	149	62	158	0
1150	Left-PGi	193	211	88	0
1151	Left-PGs	176	158	132	0
1152	Left-V6A	211	114	97	0
1153	Left-VMV1	141	246	114	0
1154	Left-VMV3	202	158	79	0
1155	Left-PHA2	0	211	62	0
1156	Left-V4t	185	123	176	0
1157	Left-FST	255	97	176	0
1158	Left-V3CD	202	35	62	0
1159	Left-LO3	132	149	220	0
1160	Left-VMV2	35	0	35	0
1161	Left-31pd	158	141	149	0
1162	Left-31a	70	106	0	0
1163	Left-VVC	202	18	97	0
1164	Left-25	0	97	97	0
1165	Left-s32	0	132	97	0
1166	Left-pOFC	79	62	9	0
1167	Left-PoI1	97	176	79	0
1168	Left-Ig	255	26	255	0
1169	Left-FOP5	0	88	132	0
1170	Left-p10p	0	97	202	0
1171	Left-p47r	211	97	44	0
1172	Left-TGv	211	35	149	0
1173	Left-MBelt	141	44	193	0
1174	Left-LBelt	185	220	167	0
1175	Left-A4	88	35	106	0
1176	Left-STSva	229	220	44	0
1177	Left-TE1m	255	202	185	0
1178	Left-PI	132	141	0	0
1179	Left-a32pr	255	88	141	0
1180	Left-p24	237	185	255	0
2000	Right-medialwall	255	255	0	0
2001	Right-V1	0	0	255	0
2002	Right-MST	255	0	0	0
2003	Right-V6	0	255	0	0
2004	Right-V2	0	0	44	0
2005	Right-V3	255	26	185	0
2006	Right-V4	255	211	0	0
2007	Right-V8	0	88	0	0
2008	Right-4	132	132	255	0
2009	Right-3b	158	79	70	0
2010	Right-FEF	0	255	193	0
2011	Right-PEF	0	132	149	0
2012	Right-55b	0	0	123	0
2013	Right-V3A	149	211	79	0
2014	Right-RSC	246	158	220	0
2015	Right-POS2	211	18	255	0
2016	Right-V7	123	26	106	0
2017	Right-IPS1	246	18	97	0
2018	Right-FFC	255	193	132	0
2019	Right-V3B	35	35	9	0
2020	Right-LO1	141	167	123	0
2021	Right-LO2	246	132	9	0
2022	Right-PIT	132	114	0	0
2023	Right-MT	114	246	255	0
2024	Right-A1	158	193	255	0
2025	Right-PSL	114	97	123	0
2026	Right-SFL	158	0	0	0
2027	Right-PCV	0	79	255	0
2028	Right-STV	0	70	149	0
2029	Right-7Pm	211	255	0	0
2030	Right-7m	185	79	211	0
2031	Right-POS1	62	0	26	0
2032	Right-23d	237	255	176	0
2033	Right-v23ab	255	123	97	0
2034	Right-d23ab	70	255	123	0
2035	Right-31pv	18	167	97	0
2036	Right-5m	211	167	167	0
2037	Right-5mv	211	79	132	0
2038	Right-23c	106	0	193	0
2039	Right-5L	44	97	70	0
2040	Right-24dd	0	149	246	0
2041	Right-24dv	9	62	79	0
2042	Right-7AL	167	88	9	0
2043	Right-SCEF	114	97	62	0
2044	Right-6ma	9	149	0	0
2045	Right-7Am	158	106	185	0
2046	Right-7PL	255	255	114	0
2047	Right-7PC	167	246	202	0
2048	Right-LIPv	149	176	185	0
2049	Right-VIP	176	176	9	0
2050	Right-MIP	44	0	79	0
2051	Right-1	0	202	255	0
2052	Right-2	79	35	0	0
2053	Right-3a	0	185	167	0
2054	Right-6d	158	0	53	0
2055	Right-6mp	79	123	176	0
2056	Right-6v	26	70	193	0
2057	Right-p24pr	88	211	0	0
2058	Right-33pr	114	149	53	0
2059	Right-a24pr	229	167	53	0
2060	Right-p32pr	246	141	149	0
2061	Right-a24	106	18	141	0
2062	Right-d32	229	97	193	0
2063	Right-8BM	237	211	255	0
2064	Right-p32	158	255	158	0
2065	Right-10r	255	79	246	0
2066	Right-47m	149	97	255	0
2067	Right-8Av	193	185	97	0
2068	Right-8Ad	237	44	53	0
2069	Right-9m	176	106	132	0
2070	Right-8BL	70	44	88	0
2071	Right-9p	185	132	88	0
2072	Right-10d	141	9	255	0
2073	Right-8C	70	79	0	0
2074	Right-44	220	211	176	0
2075	Right-45	229	149	255	0
2076	Right-47l	0	0	9	0
2077	Right-a47r	97	62	62	0
2078	Right-6r	237	0	132	0
2079	Right-IFJa	176	0	149	0
2080	Right-IFJp	106	0	0	0
2081	Right-IFSp	185	167	255	0
2082	Right-IFSa	167	149	193	0
2083	Right-p9-46v	132	44	79	0
2084	Right-46	114	123	114	0
2085	Right-a9-46v	220	70	0	0
2086	Right-9-46d	9	53	0	0
2087	Right-9a	149	202	123	0
2088	Right-10v	0	18	211	0
2089	Right-a10p	185	237	255	0
2090	Right-10pp	88	62	149	0
2091	Right-11l	70	132	70	0
2092	Right-13l	176	255	79	0
2093	Right-OFC	70	202	88	0
2094	Right-47s	229	88	106	0
2095	Right-LIPd	237	141	70	0
2096	Right-6a	123	79	18	0
2097	Right-i6-8	97	114	202	0
2098	Right-s6-8	0	255	237	0
2099	Right-43	79	149	132	0
2100	Right-OP4	185	0	202	0
2101	Right-OP1	255	220	114	0
2102	Right-OP2-3	18	35	185	0
2103	Right-52	167	0	106	0
2104	Right-RI	158	114	106	0
2105	Right-PFcm	26	185	202	0
2106	Right-PoI2	0	44	35	0
2107	Right-TA2	149	141	79	0
2108	Right-FOP4	176	211	9	0
2109	Right-MI	185	70	53	0
2110	Right-Pir	0	114	255	0
2111	Right-AVI	255	246	0	0
2112	Right-AAIC	97	167	202	0
2113	Right-FOP1	88	211	158	0
2114	Right-FOP3	114	70	193	0
2115	Right-FOP2	141	202	185	0
2116	Right-PFt	18	53	97	0
2117	Right-AIP	132	255	0	0
2118	Right-EC	70	106	123	0
2119	Right-PreS	0	35	132	0
2120	Right-H	70	0	62	0
2121	Right-ProS	176	79	149	0
2122	Right-PeEc	193	79	255	0
2123	Right-STGa	211	255	141	0
2124	Right-PBelt	9	26	88	0
2125	Right-A5	62	70	62	0
2126	Right-PHA1	97	88	149	0
2127	Right-PHA3	246	167	141	0
2128	Right-STSda	246	123	255	0
2129	Right-STSdp	229	255	220	0
2130	Right-STSvp	255	176	202	0
2131	Right-TGd	123	70	114	0
2132	Right-TE1a	185	123	255	0
2133	Right-TE1p	97	158	0	0
2134	Right-TE2a	255	176	0	0
2135	Right-TF	44	18	9	0
2136	Right-TE2p	88	255	79	0
2137	Right-PHT	211	202	211	0
2138	Right-PH	176	123	18	0
2139	Right-TPOJ1	132	53	9	0
2140	Right-TPOJ2	44	132	35	0
2141	Right-TPOJ3	106	18	35	0
2142	Right-DVT	114	62	255	0
2143	Right-PGp	44	35	53	0
2144	Right-IP2	70	176	246	0
2145	Right-IP1	53	229	141	0
2146	Right-IP0	255	229	158	0
2147	Right-PFop	246	132	176	0
2148	Right-PF	97	114	62	0
2149	Right-PFm	149	62	158	0
2150	Right-PGi	193	211	88	0
2151	Right-PGs	176	158	132	0
2152	Right-V6A	211	114	97	0
2153	Right-VMV1	141	246	114	0
2154	Right-VMV3	202	158	79	0
2155	Right-PHA2	0	211	62	0
2156	Right-V4t	185	123	176	0
2157	Right-FST	255	97	176	0
2158	Right-V3CD	202	35	62	0
2159	Right-LO3	132	149	220	0
2160	Right-VMV2	35	0	35	0
2161	Right-31pd	158	141	149	0
2162	Right-31a	70	106	0	0
2163	Right-VVC	202	18	97	0
2164	Right-25	0	97	97	0
2165	Right-s32	0	132	97	0
2166	Right-pOFC	79	62	9	0
2167	Right-PoI1	97	176	79	0
2168	Right-Ig	255	26	255	0
2169	Right-FOP5	0	88	132	0
2170	Right-p10p	0	97	202	0
2171	Right-p47r	211	97	44	0
2172	Right-TGv	211	35	149	0
2173	Right-MBelt	141	44	193	0
2174	Right-LBelt	185	220	167	0
2175	Right-A4	88	35	106	0
2176	Right-STSva	229	220	44	0
2177	Right-TE1m	255	202	185	0
2178	Right-PI	132	141	0	0
2179	Right-a32pr	255	88	141	0
2180	Right-p24	237	185	255	0

# Subcortical regions 

8 Left-Cerebellum 230 148 34 255
10 Left-Thalamus-Proper 0 118 14 255
11 Left-Caudate 122 186 220 255
12 Left-Putamen 236 13 176 255
13 Left-Pallidum 12 48 255 255
16 Brain-Stem 119 159 176 255
17 Left-Hippocampus 220 216 20 255
18 Left-Amygdala 103 255 255 255
26 Left-Accumbens 255 165 0 255
28 Left-VentralDC 165 42 42 255
47 Right-Cerebellum 230 148 34 255
49 Right-Thalamus-Proper 0 118 14 255
50 Right-Caudate 122 186 220 255
51 Right-Putamen 236 13 176 255
52 Right-Pallidum 13 48 255 255
53 Right-Hippocampus 220 216 20 255
54 Right-Amygdala 103 255 255 255
58 Right-Accumbens 255 165 0 255
60 Right-VentralDC 165 42 42 255

