#roi	label	R	G	B	A
1	Left-medialwall	0	255	0	0
2	Left-V1	0	0	255	0
3	Left-MST	255	0	0	0
4	Left-V6	0	255	0	0
5	Left-V2	0	0	44	0
6	Left-V3	255	26	185	0
7	Left-V4	255	211	0	0
8	Left-V8	0	88	0	0
9	Left-4	132	132	255	0
10	Left-3b	158	79	70	0
11	Left-FEF	0	255	193	0
12	Left-PEF	0	132	149	0
13	Left-55b	0	0	123	0
14	Left-V3A	149	211	79	0
15	Left-RSC	246	158	220	0
16	Left-POS2	211	18	255	0
17	Left-V7	123	26	106	0
18	Left-IPS1	246	18	97	0
19	Left-FFC	255	193	132	0
20	Left-V3B	35	35	9	0
21	Left-LO1	141	167	123	0
22	Left-LO2	246	132	9	0
23	Left-PIT	132	114	0	0
24	Left-MT	114	246	255	0
25	Left-A1	158	193	255	0
26	Left-PSL	114	97	123	0
27	Left-SFL	158	0	0	0
28	Left-PCV	0	79	255	0
29	Left-STV	0	70	149	0
30	Left-7Pm	211	255	0	0
31	Left-7m	185	79	211	0
32	Left-POS1	62	0	26	0
33	Left-23d	237	255	176	0
34	Left-v23ab	255	123	97	0
35	Left-d23ab	70	255	123	0
36	Left-31pv	18	167	97	0
37	Left-5m	211	167	167	0
38	Left-5mv	211	79	132	0
39	Left-23c	106	0	193	0
40	Left-5L	44	97	70	0
41	Left-24dd	0	149	246	0
42	Left-24dv	9	62	79	0
43	Left-7AL	167	88	9	0
44	Left-SCEF	114	97	62	0
45	Left-6ma	9	149	0	0
46	Left-7Am	158	106	185	0
47	Left-7PL	255	255	114	0
48	Left-7PC	167	246	202	0
49	Left-LIPv	149	176	185	0
50	Left-VIP	176	176	9	0
51	Left-MIP	44	0	79	0
52	Left-1	0	202	255	0
53	Left-2	79	35	0	0
54	Left-3a	0	185	167	0
55	Left-6d	158	0	53	0
56	Left-6mp	79	123	176	0
57	Left-6v	26	70	193	0
58	Left-p24pr	88	211	0	0
59	Left-33pr	114	149	53	0
60	Left-a24pr	229	167	53	0
61	Left-p32pr	246	141	149	0
62	Left-a24	106	18	141	0
63	Left-d32	229	97	193	0
64	Left-8BM	237	211	255	0
65	Left-p32	158	255	158	0
66	Left-10r	255	79	246	0
67	Left-47m	149	97	255	0
68	Left-8Av	193	185	97	0
69	Left-8Ad	237	44	53	0
70	Left-9m	176	106	132	0
71	Left-8BL	70	44	88	0
72	Left-9p	185	132	88	0
73	Left-10d	141	9	255	0
74	Left-8C	70	79	0	0
75	Left-44	220	211	176	0
76	Left-45	229	149	255	0
77	Left-47l	0	0	9	0
78	Left-a47r	97	62	62	0
79	Left-6r	237	0	132	0
80	Left-IFJa	176	0	149	0
81	Left-IFJp	106	0	0	0
82	Left-IFSp	185	167	255	0
83	Left-IFSa	167	149	193	0
84	Left-p9-46v	132	44	79	0
85	Left-46	114	123	114	0
86	Left-a9-46v	220	70	0	0
87	Left-9-46d	9	53	0	0
88	Left-9a	149	202	123	0
89	Left-10v	0	18	211	0
90	Left-a10p	185	237	255	0
91	Left-10pp	88	62	149	0
92	Left-11l	70	132	70	0
93	Left-13l	176	255	79	0
94	Left-OFC	70	202	88	0
95	Left-47s	229	88	106	0
96	Left-LIPd	237	141	70	0
97	Left-6a	123	79	18	0
98	Left-i6-8	97	114	202	0
99	Left-s6-8	0	255	237	0
100	Left-43	79	149	132	0
101	Left-OP4	185	0	202	0
102	Left-OP1	255	220	114	0
103	Left-OP2-3	18	35	185	0
104	Left-52	167	0	106	0
105	Left-RI	158	114	106	0
106	Left-PFcm	26	185	202	0
107	Left-PoI2	0	44	35	0
108	Left-TA2	149	141	79	0
109	Left-FOP4	176	211	9	0
110	Left-MI	185	70	53	0
111	Left-Pir	0	114	255	0
112	Left-AVI	255	246	0	0
113	Left-AAIC	97	167	202	0
114	Left-FOP1	88	211	158	0
115	Left-FOP3	114	70	193	0
116	Left-FOP2	141	202	185	0
117	Left-PFt	18	53	97	0
118	Left-AIP	132	255	0	0
119	Left-EC	70	106	123	0
120	Left-PreS	0	35	132	0
121	Left-H	70	0	62	0
122	Left-ProS	176	79	149	0
123	Left-PeEc	193	79	255	0
124	Left-STGa	211	255	141	0
125	Left-PBelt	9	26	88	0
126	Left-A5	62	70	62	0
127	Left-PHA1	97	88	149	0
128	Left-PHA3	246	167	141	0
129	Left-STSda	246	123	255	0
130	Left-STSdp	229	255	220	0
131	Left-STSvp	255	176	202	0
132	Left-TGd	123	70	114	0
133	Left-TE1a	185	123	255	0
134	Left-TE1p	97	158	0	0
135	Left-TE2a	255	176	0	0
136	Left-TF	44	18	9	0
137	Left-TE2p	88	255	79	0
138	Left-PHT	211	202	211	0
139	Left-PH	176	123	18	0
140	Left-TPOJ1	132	53	9	0
141	Left-TPOJ2	44	132	35	0
142	Left-TPOJ3	106	18	35	0
143	Left-DVT	114	62	255	0
144	Left-PGp	44	35	53	0
145	Left-IP2	70	176	246	0
146	Left-IP1	53	229	141	0
147	Left-IP0	255	229	158	0
148	Left-PFop	246	132	176	0
149	Left-PF	97	114	62	0
150	Left-PFm	149	62	158	0
151	Left-PGi	193	211	88	0
152	Left-PGs	176	158	132	0
153	Left-V6A	211	114	97	0
154	Left-VMV1	141	246	114	0
155	Left-VMV3	202	158	79	0
156	Left-PHA2	0	211	62	0
157	Left-V4t	185	123	176	0
158	Left-FST	255	97	176	0
159	Left-V3CD	202	35	62	0
160	Left-LO3	132	149	220	0
161	Left-VMV2	35	0	35	0
162	Left-31pd	158	141	149	0
163	Left-31a	70	106	0	0
164	Left-VVC	202	18	97	0
165	Left-25	0	97	97	0
166	Left-s32	0	132	97	0
167	Left-pOFC	79	62	9	0
168	Left-PoI1	97	176	79	0
169	Left-Ig	255	26	255	0
170	Left-FOP5	0	88	132	0
171	Left-p10p	0	97	202	0
172	Left-p47r	211	97	44	0
173	Left-TGv	211	35	149	0
174	Left-MBelt	141	44	193	0
175	Left-LBelt	185	220	167	0
176	Left-A4	88	35	106	0
177	Left-STSva	229	220	44	0
178	Left-TE1m	255	202	185	0
179	Left-PI	132	141	0	0
180	Left-a32pr	255	88	141	0
181	Left-p24	237	185	255	0
182	Right-medialwall	255	255	0	0
183	Right-V1	0	0	255	0
184	Right-MST	255	0	0	0
185	Right-V6	0	255	0	0
186	Right-V2	0	0	44	0
187	Right-V3	255	26	185	0
188	Right-V4	255	211	0	0
189	Right-V8	0	88	0	0
190	Right-4	132	132	255	0
191	Right-3b	158	79	70	0
192	Right-FEF	0	255	193	0
193	Right-PEF	0	132	149	0
194	Right-55b	0	0	123	0
195	Right-V3A	149	211	79	0
196	Right-RSC	246	158	220	0
197	Right-POS2	211	18	255	0
198	Right-V7	123	26	106	0
199	Right-IPS1	246	18	97	0
200	Right-FFC	255	193	132	0
201	Right-V3B	35	35	9	0
202	Right-LO1	141	167	123	0
203	Right-LO2	246	132	9	0
204	Right-PIT	132	114	0	0
205	Right-MT	114	246	255	0
206	Right-A1	158	193	255	0
207	Right-PSL	114	97	123	0
208	Right-SFL	158	0	0	0
209	Right-PCV	0	79	255	0
210	Right-STV	0	70	149	0
211	Right-7Pm	211	255	0	0
212	Right-7m	185	79	211	0
213	Right-POS1	62	0	26	0
214	Right-23d	237	255	176	0
215	Right-v23ab	255	123	97	0
216	Right-d23ab	70	255	123	0
217	Right-31pv	18	167	97	0
218	Right-5m	211	167	167	0
219	Right-5mv	211	79	132	0
220	Right-23c	106	0	193	0
221	Right-5L	44	97	70	0
222	Right-24dd	0	149	246	0
223	Right-24dv	9	62	79	0
224	Right-7AL	167	88	9	0
225	Right-SCEF	114	97	62	0
226	Right-6ma	9	149	0	0
227	Right-7Am	158	106	185	0
228	Right-7PL	255	255	114	0
229	Right-7PC	167	246	202	0
230	Right-LIPv	149	176	185	0
231	Right-VIP	176	176	9	0
232	Right-MIP	44	0	79	0
233	Right-1	0	202	255	0
234	Right-2	79	35	0	0
235	Right-3a	0	185	167	0
236	Right-6d	158	0	53	0
237	Right-6mp	79	123	176	0
238	Right-6v	26	70	193	0
239	Right-p24pr	88	211	0	0
240	Right-33pr	114	149	53	0
241	Right-a24pr	229	167	53	0
242	Right-p32pr	246	141	149	0
243	Right-a24	106	18	141	0
244	Right-d32	229	97	193	0
245	Right-8BM	237	211	255	0
246	Right-p32	158	255	158	0
247	Right-10r	255	79	246	0
248	Right-47m	149	97	255	0
249	Right-8Av	193	185	97	0
250	Right-8Ad	237	44	53	0
251	Right-9m	176	106	132	0
252	Right-8BL	70	44	88	0
253	Right-9p	185	132	88	0
254	Right-10d	141	9	255	0
255	Right-8C	70	79	0	0
256	Right-44	220	211	176	0
257	Right-45	229	149	255	0
258	Right-47l	0	0	9	0
259	Right-a47r	97	62	62	0
260	Right-6r	237	0	132	0
261	Right-IFJa	176	0	149	0
262	Right-IFJp	106	0	0	0
263	Right-IFSp	185	167	255	0
264	Right-IFSa	167	149	193	0
265	Right-p9-46v	132	44	79	0
266	Right-46	114	123	114	0
267	Right-a9-46v	220	70	0	0
268	Right-9-46d	9	53	0	0
269	Right-9a	149	202	123	0
270	Right-10v	0	18	211	0
271	Right-a10p	185	237	255	0
272	Right-10pp	88	62	149	0
273	Right-11l	70	132	70	0
274	Right-13l	176	255	79	0
275	Right-OFC	70	202	88	0
276	Right-47s	229	88	106	0
277	Right-LIPd	237	141	70	0
278	Right-6a	123	79	18	0
279	Right-i6-8	97	114	202	0
280	Right-s6-8	0	255	237	0
281	Right-43	79	149	132	0
282	Right-OP4	185	0	202	0
283	Right-OP1	255	220	114	0
284	Right-OP2-3	18	35	185	0
285	Right-52	167	0	106	0
286	Right-RI	158	114	106	0
287	Right-PFcm	26	185	202	0
288	Right-PoI2	0	44	35	0
289	Right-TA2	149	141	79	0
290	Right-FOP4	176	211	9	0
291	Right-MI	185	70	53	0
292	Right-Pir	0	114	255	0
293	Right-AVI	255	246	0	0
294	Right-AAIC	97	167	202	0
295	Right-FOP1	88	211	158	0
296	Right-FOP3	114	70	193	0
297	Right-FOP2	141	202	185	0
298	Right-PFt	18	53	97	0
299	Right-AIP	132	255	0	0
300	Right-EC	70	106	123	0
301	Right-PreS	0	35	132	0
302	Right-H	70	0	62	0
303	Right-ProS	176	79	149	0
304	Right-PeEc	193	79	255	0
305	Right-STGa	211	255	141	0
306	Right-PBelt	9	26	88	0
307	Right-A5	62	70	62	0
308	Right-PHA1	97	88	149	0
309	Right-PHA3	246	167	141	0
310	Right-STSda	246	123	255	0
311	Right-STSdp	229	255	220	0
312	Right-STSvp	255	176	202	0
313	Right-TGd	123	70	114	0
314	Right-TE1a	185	123	255	0
315	Right-TE1p	97	158	0	0
316	Right-TE2a	255	176	0	0
317	Right-TF	44	18	9	0
318	Right-TE2p	88	255	79	0
319	Right-PHT	211	202	211	0
320	Right-PH	176	123	18	0
321	Right-TPOJ1	132	53	9	0
322	Right-TPOJ2	44	132	35	0
323	Right-TPOJ3	106	18	35	0
324	Right-DVT	114	62	255	0
325	Right-PGp	44	35	53	0
326	Right-IP2	70	176	246	0
327	Right-IP1	53	229	141	0
328	Right-IP0	255	229	158	0
329	Right-PFop	246	132	176	0
330	Right-PF	97	114	62	0
331	Right-PFm	149	62	158	0
332	Right-PGi	193	211	88	0
333	Right-PGs	176	158	132	0
334	Right-V6A	211	114	97	0
335	Right-VMV1	141	246	114	0
336	Right-VMV3	202	158	79	0
337	Right-PHA2	0	211	62	0
338	Right-V4t	185	123	176	0
339	Right-FST	255	97	176	0
340	Right-V3CD	202	35	62	0
341	Right-LO3	132	149	220	0
342	Right-VMV2	35	0	35	0
343	Right-31pd	158	141	149	0
344	Right-31a	70	106	0	0
345	Right-VVC	202	18	97	0
346	Right-25	0	97	97	0
347	Right-s32	0	132	97	0
348	Right-pOFC	79	62	9	0
349	Right-PoI1	97	176	79	0
350	Right-Ig	255	26	255	0
351	Right-FOP5	0	88	132	0
352	Right-p10p	0	97	202	0
353	Right-p47r	211	97	44	0
354	Right-TGv	211	35	149	0
355	Right-MBelt	141	44	193	0
356	Right-LBelt	185	220	167	0
357	Right-A4	88	35	106	0
358	Right-STSva	229	220	44	0
359	Right-TE1m	255	202	185	0
360	Right-PI	132	141	0	0
361	Right-a32pr	255	88	141	0
362	Right-p24	237	185	255	0

# Subcortical regions 

363 Left-Cerebellum 230 148 34 255
364 Left-Thalamus-Proper 0 118 14 255
365 Left-Caudate 122 186 220 255
366 Left-Putamen 236 13 176 255
367 Left-Pallidum 12 48 255 255
368 Brain-Stem 119 159 176 255
369 Left-Hippocampus 220 216 20 255
370 Left-Amygdala 103 255 255 255
371 Left-Accumbens 255 165 0 255
372 Left-VentralDC 165 42 42 255
373 Right-Cerebellum 230 148 34 255
374 Right-Thalamus-Proper 0 118 14 255
375 Right-Caudate 122 186 220 255
376 Right-Putamen 236 13 176 255
377 Right-Pallidum 13 48 255 255
378 Right-Hippocampus 220 216 20 255
379 Right-Amygdala 103 255 255 255
380 Right-Accumbens 255 165 0 255
381 Right-VentralDC 165 42 42 255
