#roi	label	R	G	B	A
1	L_medial_wall	255	255	255	0
2	L_VosdeWael_Area_1	1	1	1	0
3	L_VosdeWael_Area_2	2	2	2	0
4	L_VosdeWael_Area_3	3	3	3	0
5	L_VosdeWael_Area_4	4	4	4	0
6	L_VosdeWael_Area_5	5	5	5	0
7	L_VosdeWael_Area_6	6	6	6	0
8	L_VosdeWael_Area_7	7	7	7	0
9	L_VosdeWael_Area_8	8	8	8	0
10	L_VosdeWael_Area_9	9	9	9	0
11	L_VosdeWael_Area_10	10	10	10	0
12	L_VosdeWael_Area_11	11	11	11	0
13	L_VosdeWael_Area_12	12	12	12	0
14	L_VosdeWael_Area_13	13	13	13	0
15	L_VosdeWael_Area_14	14	14	14	0
16	L_VosdeWael_Area_15	15	15	15	0
17	L_VosdeWael_Area_16	16	16	16	0
18	L_VosdeWael_Area_17	17	17	17	0
19	L_VosdeWael_Area_18	18	18	18	0
20	L_VosdeWael_Area_19	19	19	19	0
21	L_VosdeWael_Area_20	20	20	20	0
22	L_VosdeWael_Area_21	21	21	21	0
23	L_VosdeWael_Area_22	22	22	22	0
24	L_VosdeWael_Area_23	23	23	23	0
25	L_VosdeWael_Area_24	24	24	24	0
26	L_VosdeWael_Area_25	25	25	25	0
27	L_VosdeWael_Area_26	26	26	26	0
28	L_VosdeWael_Area_27	27	27	27	0
29	L_VosdeWael_Area_28	28	28	28	0
30	L_VosdeWael_Area_29	29	29	29	0
31	L_VosdeWael_Area_30	30	30	30	0
32	L_VosdeWael_Area_31	31	31	31	0
33	L_VosdeWael_Area_32	32	32	32	0
34	L_VosdeWael_Area_33	33	33	33	0
35	L_VosdeWael_Area_34	34	34	34	0
36	L_VosdeWael_Area_35	35	35	35	0
37	L_VosdeWael_Area_36	36	36	36	0
38	L_VosdeWael_Area_37	37	37	37	0
39	L_VosdeWael_Area_38	38	38	38	0
40	L_VosdeWael_Area_39	39	39	39	0
41	L_VosdeWael_Area_40	40	40	40	0
42	L_VosdeWael_Area_41	41	41	41	0
43	L_VosdeWael_Area_42	42	42	42	0
44	L_VosdeWael_Area_43	43	43	43	0
45	L_VosdeWael_Area_44	44	44	44	0
46	L_VosdeWael_Area_45	45	45	45	0
47	L_VosdeWael_Area_46	46	46	46	0
48	L_VosdeWael_Area_47	47	47	47	0
49	L_VosdeWael_Area_48	48	48	48	0
50	L_VosdeWael_Area_49	49	49	49	0
51	L_VosdeWael_Area_50	50	50	50	0
52	L_VosdeWael_Area_51	51	51	51	0
53	L_VosdeWael_Area_52	52	52	52	0
54	L_VosdeWael_Area_53	53	53	53	0
55	L_VosdeWael_Area_54	54	54	54	0
56	L_VosdeWael_Area_55	55	55	55	0
57	L_VosdeWael_Area_56	56	56	56	0
58	L_VosdeWael_Area_57	57	57	57	0
59	L_VosdeWael_Area_58	58	58	58	0
60	L_VosdeWael_Area_59	59	59	59	0
61	L_VosdeWael_Area_60	60	60	60	0
62	L_VosdeWael_Area_61	61	61	61	0
63	L_VosdeWael_Area_62	62	62	62	0
64	L_VosdeWael_Area_63	63	63	63	0
65	L_VosdeWael_Area_64	64	64	64	0
66	L_VosdeWael_Area_65	65	65	65	0
67	L_VosdeWael_Area_66	66	66	66	0
68	L_VosdeWael_Area_67	67	67	67	0
69	L_VosdeWael_Area_68	68	68	68	0
70	L_VosdeWael_Area_69	69	69	69	0
71	L_VosdeWael_Area_70	70	70	70	0
72	L_VosdeWael_Area_71	71	71	71	0
73	L_VosdeWael_Area_72	72	72	72	0
74	L_VosdeWael_Area_73	73	73	73	0
75	L_VosdeWael_Area_74	74	74	74	0
76	L_VosdeWael_Area_75	75	75	75	0
77	L_VosdeWael_Area_76	76	76	76	0
78	L_VosdeWael_Area_77	77	77	77	0
79	L_VosdeWael_Area_78	78	78	78	0
80	L_VosdeWael_Area_79	79	79	79	0
81	L_VosdeWael_Area_80	80	80	80	0
82	L_VosdeWael_Area_81	81	81	81	0
83	L_VosdeWael_Area_82	82	82	82	0
84	L_VosdeWael_Area_83	83	83	83	0
85	L_VosdeWael_Area_84	84	84	84	0
86	L_VosdeWael_Area_85	85	85	85	0
87	L_VosdeWael_Area_86	86	86	86	0
88	L_VosdeWael_Area_87	87	87	87	0
89	L_VosdeWael_Area_88	88	88	88	0
90	L_VosdeWael_Area_89	89	89	89	0
91	L_VosdeWael_Area_90	90	90	90	0
92	L_VosdeWael_Area_91	91	91	91	0
93	L_VosdeWael_Area_92	92	92	92	0
94	L_VosdeWael_Area_93	93	93	93	0
95	L_VosdeWael_Area_94	94	94	94	0
96	L_VosdeWael_Area_95	95	95	95	0
97	L_VosdeWael_Area_96	96	96	96	0
98	L_VosdeWael_Area_97	97	97	97	0
99	L_VosdeWael_Area_98	98	98	98	0
100	L_VosdeWael_Area_99	99	99	99	0
101	L_VosdeWael_Area_100	100	100	100	0
102	R_medial_wall	255	255	255	0
103	R_VosdeWael_Area_1	0	1	1	0
104	R_VosdeWael_Area_2	0	2	2	0
105	R_VosdeWael_Area_3	0	3	3	0
106	R_VosdeWael_Area_4	0	4	4	0
107	R_VosdeWael_Area_5	0	5	5	0
108	R_VosdeWael_Area_6	0	6	6	0
109	R_VosdeWael_Area_7	0	7	7	0
110	R_VosdeWael_Area_8	0	8	8	0
111	R_VosdeWael_Area_9	0	9	9	0
112	R_VosdeWael_Area_10	0	10	10	0
113	R_VosdeWael_Area_11	0	11	11	0
114	R_VosdeWael_Area_12	0	12	12	0
115	R_VosdeWael_Area_13	0	13	13	0
116	R_VosdeWael_Area_14	0	14	14	0
117	R_VosdeWael_Area_15	0	15	15	0
118	R_VosdeWael_Area_16	0	16	16	0
119	R_VosdeWael_Area_17	0	17	17	0
120	R_VosdeWael_Area_18	0	18	18	0
121	R_VosdeWael_Area_19	0	19	19	0
122	R_VosdeWael_Area_20	0	20	20	0
123	R_VosdeWael_Area_21	0	21	21	0
124	R_VosdeWael_Area_22	0	22	22	0
125	R_VosdeWael_Area_23	0	23	23	0
126	R_VosdeWael_Area_24	0	24	24	0
127	R_VosdeWael_Area_25	0	25	25	0
128	R_VosdeWael_Area_26	0	26	26	0
129	R_VosdeWael_Area_27	0	27	27	0
130	R_VosdeWael_Area_28	0	28	28	0
131	R_VosdeWael_Area_29	0	29	29	0
132	R_VosdeWael_Area_30	0	30	30	0
133	R_VosdeWael_Area_31	0	31	31	0
134	R_VosdeWael_Area_32	0	32	32	0
135	R_VosdeWael_Area_33	0	33	33	0
136	R_VosdeWael_Area_34	0	34	34	0
137	R_VosdeWael_Area_35	0	35	35	0
138	R_VosdeWael_Area_36	0	36	36	0
139	R_VosdeWael_Area_37	0	37	37	0
140	R_VosdeWael_Area_38	0	38	38	0
141	R_VosdeWael_Area_39	0	39	39	0
142	R_VosdeWael_Area_40	0	40	40	0
143	R_VosdeWael_Area_41	0	41	41	0
144	R_VosdeWael_Area_42	0	42	42	0
145	R_VosdeWael_Area_43	0	43	43	0
146	R_VosdeWael_Area_44	0	44	44	0
147	R_VosdeWael_Area_45	0	45	45	0
148	R_VosdeWael_Area_46	0	46	46	0
149	R_VosdeWael_Area_47	0	47	47	0
150	R_VosdeWael_Area_48	0	48	48	0
151	R_VosdeWael_Area_49	0	49	49	0
152	R_VosdeWael_Area_50	0	50	50	0
153	R_VosdeWael_Area_51	0	51	51	0
154	R_VosdeWael_Area_52	0	52	52	0
155	R_VosdeWael_Area_53	0	53	53	0
156	R_VosdeWael_Area_54	0	54	54	0
157	R_VosdeWael_Area_55	0	55	55	0
158	R_VosdeWael_Area_56	0	56	56	0
159	R_VosdeWael_Area_57	0	57	57	0
160	R_VosdeWael_Area_58	0	58	58	0
161	R_VosdeWael_Area_59	0	59	59	0
162	R_VosdeWael_Area_60	0	60	60	0
163	R_VosdeWael_Area_61	0	61	61	0
